ANNOSCOLASTICO,AREAGEOGRAFICA,REGIONE,PROVINCIA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,CAPSCUOLA,CODICECOMUNESCUOLA,DESCRIZIONECOMUNE,DESCRIZIONECARATTERISTICASCUOLA,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,INDICAZIONESEDEDIRETTIVO,INDICAZIONESEDEOMNICOMPRENSIVO,INDIRIZZOEMAILSCUOLA,INDIRIZZOPECSCUOLA,SITOWEBSCUOLA,SEDESCOLASTICA
202425,SUD,ABRUZZO,TERAMO,TEIC825007,I.C. MOSCIANO S.ANGELO-BELLANTE,TEEE82505D,PRIMARIA RIPATTONI,RIPATTONI,64020,A746,BELLANTE,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,TEIC825007@istruzione.it,Non Disponibile,http//www.moscianoscuola.it/,NO
202425,ISOLE,SICILIA,MESSINA,MEIC87400N,ISTITUTO COMPRENSIVO - SAPONARA,MEEE87402R,"SCUOLA ELEMENTARE ""S.QUASIMODO""",VIA COMO,98047,I420,SAPONARA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,MEIC87400N@istruzione.it,Non Disponibile,www.icsaponara.gov.it,NO
202425,SUD,CAMPANIA,BENEVENTO,BNIC855006,I.C. ILARIA ALPI,BNAA855068,"PANNARANO ""CAP.""",VIA MUNICIPIO,82017,G311,PANNARANO,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,BNIC855006@istruzione.it,Non Disponibile,www.icalpimontesarchio.edu.it,NO
202425,ISOLE,SICILIA,PALERMO,PAPS010002,GALILEI,PAPS010002,GALILEI,VIA DANIMARCA 54,90146,G273,PALERMO,NORMALE,LICEO SCIENTIFICO,SI,Non Disponibile,PAPS010002@istruzione.it,paps010002@pec.istruzione.it,www.liceoggalileipalermo.it,NO
202425,SUD,CALABRIA,COSENZA,CSIC86700L,IC TORANO C.- S. MART.+CERZETO,CSEE86701P,TORANO C.LLO IC,VIA ALDO MORO 3/B,87010,L206,TORANO CASTELLO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,CSIC86700L@istruzione.it,Non Disponibile,http//www.ictoranocastellocs.edu.it,NO
202425,NORD OVEST,LOMBARDIA,MILANO,MIIC844005,IC ALDO MORO,MIEE844017,PRIMARIA A. MORO,VIA REDIPUGLIA 8,20010,B593,CANEGRATE,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,MIIC844005@istruzione.it,Non Disponibile,www.icscanegrate.gov.it,NO
202425,NORD OVEST,PIEMONTE,VERCELLI,VCIC803002,I.C. S.IGNAZIO DA SANTHIA',VCAA80302X,SCUOLA INFANZIA CARISIO,PIAZZA CONTE DI COLLOBIANO 1,13040,B782,CARISIO,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,VCIC803002@istruzione.it,Non Disponibile,www.icsanthia.it,NO
202425,CENTRO,TOSCANA,SIENA,SIIC81700E,N.4 - FEDERIGO TOZZI - SIENA,SIEE81701L,FEDERIGO TOZZI,STRADA PETRICCIO E BELRIGUARDO 57,53100,I726,SIENA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,SIIC81700E@istruzione.it,Non Disponibile,www.ictozzi.edu.it,NO
202425,SUD,CAMPANIA,BENEVENTO,BNIC83700L,"IC ""L. DA VINCI"" LIMATOLA",BNMM83701N,"""L. DA VINCI"" LIMATOLA",VIA KENNEDY,82030,E589,LIMATOLA,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,BNIC83700L@istruzione.it,Non Disponibile,www.icdugenta.gov.it,NO
202425,SUD,CAMPANIA,CASERTA,CEIS00400E,UGO FOSCOLO,CEIS00400E,UGO FOSCOLO,VIA ORTO CERASO,81057,L083,TEANO,NORMALE,ISTITUTO SUPERIORE,SI,Non Disponibile,CEIS00400E@istruzione.it,ceis00400e@pec.istruzione.it,Non Disponibile,NO
202425,SUD,CALABRIA,COSENZA,CSIC82900T,IC MORMANNO-LAINO BORGO,CSAA82901P,MORMANNO - VIA POSILLIPO,VIA POSILLIPO,87026,F735,MORMANNO,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,CSIC82900T@istruzione.it,Non Disponibile,WWW.SCUOLAMORMANNO.IT,NO
202425,NORD EST,FRIULI-VENEZIA G.,GORIZIA,GOIS008001,GALILEO GALILEI,GOTL00801N,"""N. PACASSI""",VIA G. PUCCINI 22,34170,E098,GORIZIA,NORMALE,ISTITUTO TECNICO PER GEOMETRI,NO,Non Disponibile,GOIS008001@istruzione.it,Non Disponibile,www.isitgo.it,NO
